flight_id,real_waypoints,pass_times,speeds,alts,real_full_waypoints,full_pass_times,full_speeds,full_alts
020058RAM939M,LFPG LFPB LFPV LFYR BIDAC BTZ_80,1680352807 1680352859 1680353099 1680353819 1680355919 1680355919,0.1058 0.1193 0.1902 0.2324 0.0000 0.0000,1280 2027 5380 10493 10630 10630,LFPG LFPB _TG3haN2c LFPV LFYR BIDAC BTZ_80,1680352807 1680352859 1680352979 1680353099 1680353819 1680355919 1680355919,0.1058 0.1193 0.1693 0.1902 0.2324 0.0000 0.0000,1280 2027 3597 5380 10493 10630 10630
02005ARAM572,TOLSI ROMSO ALT PTC ETEKO,1680355619 1680355979 1680358439 1680359879 1680360839,0.2167 0.2347 0.2597 0.2692 0.0000,10363 12002 11811 11697 11674,TOLSI _ydQJSOEM _5kWVlM3o ROMSO ALT PTC _7VxLBcSm ETEKO,1680355619 1680355619 1680355679 1680355979 1680358439 1680359879 1680360839 1680360839,0.2167 0.2167 0.2208 0.2347 0.2597 0.2692 0.0000 0.0000,10363 10363 10706 12002 11811 11697 11674 11674
02005ARAM573,MOUET_07 CIRTA TUKRO_49 RESTU GALTO TUSOR VARAS,1680372974 1680373079 1680375299 1680377219 1680379019 1680379799 1680379799,0.1876 0.1881 0.1950 0.2052 0.2362 0.0000 0.0000,11331 11331 11369 11544 11666 11575 11575,MOUET_07 _VUnW8Owa CIRTA TUKRO_49 RESTU GALTO TUSOR VARAS,1680372974 1680373019 1680373079 1680375299 1680377219 1680379019 1680379799 1680379799,0.1876 0.1876 0.1881 0.1950 0.2052 0.2362 0.0000 0.0000,11331 11331 11331 11369 11544 11666 11575 11575
02005ARAM641B,LFPO RESMI LFEL BAN_14 CJN XAVIR_01 TUSOR VARAS,1680328304 1680328499 1680329579 1680332639 1680333119 1680335519 1680336659 1680336659,0.0764 0.1464 0.2266 0.2288 0.2218 0.2215 0.0000 0.0000,396 2286 11765 12032 12078 12261 12322 12322,LFPO _HNOHBRTe RESMI LFEL BAN_14 CJN XAVIR_01 TUSOR VARAS,1680328304 1680328379 1680328499 1680329579 1680332639 1680333119 1680335519 1680336659 1680336659,0.0764 0.1012 0.1464 0.2266 0.2288 0.2218 0.2215 0.0000 0.0000,396 1181 2286 11765 12032 12078 12261 12322 12322
020066RAM850W,MARJA_82 TOLSI XULIM RUSEM DGO LFCH PEPAX_98 HELEN_28 EHAM,1680349506 1680349559 1680350279 1680351899 1680353759 1680354899 1680356159 1680358439 1680359999,0.2922 0.2922 0.2199 0.2317 0.2313 0.2338 0.2320 0.1667 0.0000,9578 9578 11979 11849 11628 11499 11415 6568 61,MARJA_82 TOLSI _Cf4zGo9T XULIM RUSEM DGO LFCH PEPAX_98 HELEN_28 _dVkfeKjQ _q1GRJNao _RFSTOl7d _rZgzm4jE _i4j9hLTr _yl9fQflT _jhJuOzoJ _HCk86Wof EHAM,1680349506 1680349559 1680349739 1680350279 1680351899 1680353759 1680354899 1680356159 1680358439 1680358559 1680358859 1680359219 1680359339 1680359519 1680359639 1680359759 1680359939 1680359999,0.2922 0.2922 0.2350 0.2199 0.2317 0.2313 0.2338 0.2320 0.1667 0.1710 0.1358 0.1211 0.1067 0.0848 0.0844 0.0775 0.0708 0.0000,9578 9578 11339 11979 11849 11628 11499 11415 6568 6393 4839 2873 2294 1554 869 663 282 61
020066RAM851W,BASNO EHAM BAN_14 INTAX LEMG VARAS,1680366155 1680366239 1680372059 1680372779 1680374219 1680375599,0.0964 0.1493 0.2531 0.2451 0.2363 0.0000,678 2240 10759 10249 10409 9594,BASNO _QVk3haeT EHAM BAN_14 INTAX LEMG _pUkfRai5 VARAS,1680366155 1680366119 1680366239 1680372059 1680372779 1680374219 1680375599 1680375599,0.0964 0.0964 0.1493 0.2531 0.2451 0.2363 0.0000 0.0000,678 678 2240 10759 10249 10409 9594 9594
020072RAM802,AGDAL ABIRO TLD SIE NENEM ROKKE EGKR,1680362728 1680363659 1680365999 1680366599 1680368219 1680372659 1680373079,0.2094 0.2170 0.2198 0.2079 0.2145 0.1225 0.0000,7574 11971 11781 11697 11537 2256 480,AGDAL _rWt7Vie0 _cINX3H2V ABIRO TLD SIE NENEM _XVo1iRMA _tLNEc3yo _xJ2Z7Qcu _tsIMI2yo _35YCEbwT ROKKE _PJA6Ogjz _27TL8l84 _qS2sgDNY EGKR,1680362728 1680362759 1680362819 1680363659 1680365999 1680366599 1680368219 1680371279 1680371579 1680371879 1680372419 1680372539 1680372659 1680372839 1680372959 1680373079 1680373079,0.2094 0.2094 0.2318 0.2170 0.2198 0.2079 0.2145 0.1997 0.1900 0.1705 0.1200 0.1161 0.1225 0.0800 0.0961 0.0000 0.0000,7574 7574 8115 11971 11781 11697 11537 9685 8184 5524 3581 2995 2256 1417 945 480 480
020072RAM803,OTSID EGHI EVURA_72 LAKAM ODAXA,1680378617 1680379139 1680385139 1680387059 1680387059,0.0959 0.2093 0.2566 0.0000 0.0000,770 5174 12245 6439 6439,OTSID _tkBS2wU6 EGHI EVURA_72 LAKAM ODAXA,1680378617 1680378659 1680379139 1680385139 1680387059 1680387059,0.0959 0.1256 0.2093 0.2566 0.0000 0.0000,770 1204 5174 12245 6439 6439
020073RAM952Q,AGDAL PIMOS BEGOX PLANA_59 BCN LUMAS TIVNO KALMO SUKOM_45 PETAS LUTOR LIPE,1680359601 1680360959 1680362939 1680363239 1680364379 1680365099 1680366539 1680367199 1680368039 1680368159 1680368519 1680368519,0.2192 0.2428 0.2432 0.2409 0.2720 0.2579 0.2499 0.2236 0.1188 0.0933 0.0000 0.0000,7224 11346 11140 11102 10950 10904 9616 8138 2309 1585 488 488,AGDAL _Qmzoa6Ek _MlHYV5FR _Tb7QmurD PIMOS BEGOX PLANA_59 BCN _UaQb7EQR LUMAS TIVNO KALMO _bagYUg0d _64hJ2BQ6 SUKOM_45 PETAS _RhhaDsPY LUTOR LIPE,1680359601 1680359639 1680359699 1680360659 1680360959 1680362939 1680363239 1680364379 1680364979 1680365099 1680366539 1680367199 1680367619 1680367739 1680368039 1680368159 1680368279 1680368519 1680368519,0.2192 0.2192 0.2297 0.2504 0.2428 0.2432 0.2409 0.2720 0.2649 0.2579 0.2499 0.2236 0.1556 0.1420 0.1188 0.0933 0.0949 0.0000 0.0000,7224 7224 7757 11354 11346 11140 11102 10950 10912 10904 9616 8138 4648 3749 2309 1585 968 488 488
020073RAM953Q,LUTOR BOA NEVMO ASBOP INFED GALTO VARAS,1680374358 1680374399 1680374459 1680375719 1680376859 1680382439 1680383339,0.1206 0.1206 0.1384 0.2234 0.2267 0.2364 0.0000,1189 1189 1676 11118 11140 11659 9990,LUTOR BOA NEVMO ASBOP INFED GALTO _2PyCyhzi VARAS,1680374358 1680374399 1680374459 1680375719 1680376859 1680382439 1680383339 1680383339,0.1206 0.1206 0.1384 0.2234 0.2267 0.2364 0.0000 0.0000,1189 1189 1676 11118 11140 11659 9990 9990
