od_pair,count
LLBG-LIRF,1036
LEPA-EGSS,1035
LPFR-EGCC,1035
EDDB-EDDK,1032
EGLL-EGPD,1032
EDDM-LIRF,1030
EHAM-LTFM,1030
EDDM-LPPT,1030
EFHK-LFPG,1030
ENGM-ENCN,1029
LIMC-LOWW,1028
EGPD-EGLL,1027
LOWW-EKCH,1026
LIML-EBBR,1026
LSGG-LFMN,1026
LEAL-LEPA,1026
LFPG-LFLL,1026
EGAC-EGLL,1025
ESMS-ESSB,1023
LEMD-LEAL,1022
EGKK-LSGG,1018
LKPR-LFPG,1018
DAAG-LFPO,1016
EKEB-EKEB,1015
ESSA-EDDM,1015
LROP-LOWW,1011
EHAM-LFMN,1009
LIRF-EGKK,1008
EDDM-ESSA,1007
LIRF-LOWW,1007
LFPG-LKPR,1006
LFPG-EFHK,1004
EDDP-EGNX,1004
EKCH-EKAH,1004
LTFJ-EDDL,1003
EGKK-EKCH,1002
EKCH-LOWW,1002
EGLC-EGPH,1002
EDDL-LTFJ,1001
EDDM-EFHK,999
EGSS-LEPA,998
LPPT-EDDM,998
EDDK-EDDB,996
EDDF-EGLC,996
EDDW-EDDM,995
ENCN-ENGM,995
EKAH-EKCH,995
EHAM-EDDL,994
LGAV-LIRF,993
LFPG-LLBG,992
LYBE-LOWW,990
LIRF-LIBD,990
LFPG-LFRS,989
LEPA-LEAL,988
EDDL-EHAM,987
ESSB-ESMS,986
EGCC-LEMG,984
LLBG-LOWW,984
EDDL-LFPG,982
LOWW-LYBE,979
EDDF-LIMC,978
LROP-LTFM,976
EGGD-LEPA,975
LFPG-EGPH,974
LEMH-LEPA,970
ELLX-EGLC,968
EFHK-EDDF,967
EIDW-EBBR,965
EKCH-LEBL,965
EHAM-LROP,965
LROP-EHAM,964
EFHK-ENGM,964
EDDS-EGLL,964
LFPG-EDDL,963
LTFM-LYBE,961
EDDH-EDDS,960
EGNM-EIDW,959
LOWW-EDDS,959
EDDS-EDDH,957
LTFM-LROP,957
LIBD-LIML,956
ESSA-ESMS,955
LLBG-EGLL,954
ESMS-ESSA,954
LEBL-EKCH,952
EDDF-EFHK,951
EKCH-LEMG,950
EDDM-EDDW,949
LEPA-EGGD,948
EKCH-EPWA,947
EBBR-EHAM,946
ESGG-EHAM,945
EPWA-EKCH,945
EGKK-LPPT,944
LIMC-EDDF,943
LEMH-LEBL,943
EDDF-EDDL,941
LGAV-EDDM,941
EHAM-LEPA,941
ENVA-ENBO,940
LTFJ-EDDK,940
LEPA-EDDN,939
EIDW-EGNM,939
EGCC-LEBL,938
